Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
4;0;2512;487;2999;0638_erezblm-IoTAdapter-IoTServer-0.1.1-swagger.json
12;0;2524;487;3011;0639_erezblm-IoTServer-IoTAdapter-0.1.2-swagger.json
9;0;2533;487;3020;0650_Evandro18-CRM_PAX-1.0.0-swagger.json
2;0;2535;487;3022;0654_evt-Ambev_Zeus-Ambev_PO7.5_DMS-1.2.0-oas3-swagger.json
4;0;2539;487;3026;0663_f6161-Faresaver_API-0.91-swagger.json
4;1;2543;488;3031;0670_FasterFinance-application-api-1.0.0-swagger.json
104;3;2647;491;3138;0677_felippe.ribeiro-customer-api-9.0.0-swagger.json
17;1;2664;492;3156;0679_FF-IT-e-paraksts_on_boarding_service-1.0.0-swagger.json
4;0;2668;492;3160;0688_FISC-epip-1.0.0-swagger.json
43;16;2711;508;3219;0691_flaxen.tech-footcareer.com-1.0.0-swagger.json
23;2;2734;510;3244;0692_flo17-TP-Frontend-1.0.0-oas3-swagger.json
25;107;2759;617;3376;0712_Freight-Trust-api-reference_for_the_kaleido_platform-1.0-swagger.json
31;0;2790;617;3407;0713_from.digital-MasheryEndpoints-1.1.4-swagger.json
5;0;2795;617;3412;0738_getinclusive-status-1.41b-swagger.json
39;6;2834;623;3457;0750_God-mbh7-Moehlenhoff-Cloud-5.01-swagger.json
2;4;2836;627;3463;0751_God3-pos-1.3.2-swagger.json
31;3;2867;630;3497;0759_gosoft-thailand-7-Delivery-Customer-API-1.18-swagger.json
9;0;2876;630;3506;0766_GreatCode-Listed-api-v1-swagger.json
44;1;2920;631;3551;0778_guian-MarketplaceAPI-1.0.7-swagger.json
3;0;2923;631;3554;0781_Guppitus4-Barracuda-1.0.0-swagger.json
12;2;2935;633;3568;0785_HaakCo-HaakCo-1.0.1-swagger.json
35;58;2970;691;3661;0789_happy-cog-osborne_erp_service_api-1.0.26-swagger.json
2;0;2972;691;3663;0804_Heildsala.Syn-CreditingManager-1.0.0-oas3-swagger.json
5;0;2977;691;3668;0812_hgomez-we-kall_api-1.0.0-swagger.json
34;0;3011;691;3702;0813_Hibin-Mobile-1.0.4-swagger.json
39;2;3050;693;3743;0815_himkwtn-Hilbert-1.2.0-swagger.json
16;1;3066;694;3760;0822_hitunes-assignment-1.0.0-swagger.json
46;11;3112;705;3817;0827_HMH_Sistemas-Isibit_Travel_open_API-1.1.0-swagger.json
4;0;3116;705;3821;0846_hplussports-catalog-1.0.0-swagger.json
1;0;3117;705;3822;0856_hyounus-Yell-Api-1.0.2-swagger.json
40;31;3157;736;3893;0864_Ibermutua-composite-rel-1.0.3-swagger.json
4;0;3161;736;3897;0873_IETStudent-Catalog-1.0.0-swagger.json
10;5;3171;741;3912;0875_Igorxp5-AppLada-1.0.0-swagger.json
1;0;3172;741;3913;0879_ImaginStudio-VehicleRequest-1.0-oas3-swagger.json
2;5;3174;746;3920;0885_incadea-Basic-2.1.0-swagger.json
9;0;3183;746;3929;0890_indocomsoft-hacknroll-registration-1.1.0-swagger.json
19;4;3202;750;3952;0900_inholland1-Bezorg.direct-1.3.0-swagger.json
3;0;3205;750;3955;0912_Integration_tourists-Travel-1.0.6-swagger.json
4;0;3209;750;3959;0913_Integration_tourists-Travel_contract_integration_iic-1.0.0-swagger.json
3;0;3212;750;3962;0914_Integration_tourists-Travel_contract_integration_init-1.0.3-swagger.json
3;0;3215;750;3965;0915_Integration_tourists-Travel_contract_integration_polis_ua-1.0.4-swagger.json
6;2;3221;752;3973;0916_intera-CarloopFree2MoveInterface-1.0.3-swagger.json
29;12;3250;764;4014;0943_isonaspureaccess-api-v2-1.0.3-swagger.json
9;0;3259;764;4023;0958_iway.io-booking_api_en-3.0.0-swagger.json
12;7;3271;771;4042;0976_jchaves-organization-service-0.0.3-swagger.json
12;0;3283;771;4054;0996_jjtortosa-cm-hub-1.0.2-swagger.json
11;1;3294;772;4066;0999_jlugoww-ww-bot-dashboard-api-1.0-swagger.json
4;0;3298;772;4070;1001_jmorgan7-catalogue-1.0.0-swagger.json
1;0;3299;772;4071;1004_JoaoGabrielOliveiraSilv-Listed-api-v1-swagger.json
4;0;3303;772;4075;1023_jupiter1-CandidateRegistration-1.0.0-swagger.json
26;0;3329;772;4101;1024_jupiter1-ProductServices-1.0.0-swagger.json
9;0;3338;772;4110;1041_kana-userstore_rest_1-1.0.0-oas3-swagger.json
4;1;3342;773;4115;1048_ke-zhang-rd-amastra-samples-0.0.1-swagger.json
10;0;3352;773;4125;1060_kiomat-SportLife-0.11.0-swagger.json
33;29;3385;802;4187;1067_kmermelas-AgeingatWork_Forum_API-5-swagger.json
3;0;3388;802;4190;1073_KNX_Sports_and_Media-Statistics-Center-0.1-swagger.json
15;0;3403;802;4205;1081_konstapascal-chestnut-api-1.0-swagger.json
4;0;3407;802;4209;1092_ksingh.rajeev-catalog-1.0.0-swagger.json
1;491;3408;1293;4701;1129_lhtan-dev-dynamics-365_business_central-1.0.0-swagger.json
9;0;3417;1293;4710;1132_LidiaIvanova-NotForgotRestAPI-1.0-swagger.json
1;8;3418;1301;4719;1134_liferayinc-commerce-delivery-catalog-v1.0-swagger.json
5;2;3423;1303;4726;1147_ljimenez7-api-0.0.1-swagger.json
24;24;3447;1327;4774;1150_LocalizeWiz-WizApi-1.0.0-swagger.json
1;6;3448;1333;4781;1153_Logiware-SharkWCS-1.0.1-swagger.json
12;0;3460;1333;4793;1154_Logiware-SharkWMS-0.5.3-swagger.json
10;12;3470;1345;4815;1156_LOQBOX-LOQBOX-Core-1.0.2-swagger.json
8;0;3478;1345;4823;1159_Los-compadres-ejercicio1-1.0.0-swagger.json
36;0;3514;1345;4859;1182_m437-mola-0.0.1-swagger.json
6;14;3520;1359;4879;1184_MaaP_KR-RCS_Biz_Center-1.0.4-swagger.json
2;8;3522;1367;4889;1196_marcelkat-Covid19Backend-1.0.1-swagger.json
37;10;3559;1377;4936;1197_MarchingBytes-ATM-1.1.1-swagger.json
6;1;3565;1378;4943;1199_MariumAli-EnsemblSearchGeneRestApi-1.0.0-swagger.json
90;127;3655;1505;5160;1200_marketboomer-PurchasePlusAPI-Inventory-2.0-swagger.json
16;2;3671;1507;5178;1215_Max-Value-Software-MVS_Licensing_API-0.0.31-swagger.json
2;2;3673;1509;5182;1217_maxx-t-MyUnisoft-1.0.1-swagger.json
1;0;3674;1509;5183;1226_medods-telephony-common-1.0-swagger.json
3;0;3677;1509;5186;1227_meekittipol-eipp-ext-invoice-service-1.0.0-swagger.json
9;0;3686;1509;5195;1231_Merlin-Technologies-SteamshipLineCargoIntegration-1.1-swagger.json
6;0;3692;1509;5201;1236_mfassis-GLAZ_API-1.0-oas3-swagger.json
13;0;3705;1509;5214;1238_mfi95-healthstack-0.5-swagger.json
3;5;3708;1514;5222;1243_mgmonteleone73-ts-ftdc-requestor-1.0.2-oas3-swagger.json
3;0;3711;1514;5225;1245_michaelfontes-HR_API_OAS3.0-2.0.0-swagger.json
3;0;3714;1514;5228;1249_MikeTyrer-PortalDataImportApi-1.2.2-swagger.json
16;11;3730;1525;5255;1252_Minthealth-campaign-http-1.0.0-swagger.json
61;1;3791;1526;5317;1254_mirc-engineering-workloggerweb-1.0.0-swagger.json
2;0;3793;1526;5319;1256_mit-ndowmon-ensembles-infrastructure-map-1.0.0-swagger.json
11;0;3804;1526;5330;1257_mlima-vuttr-1.1.0-swagger.json
47;15;3851;1541;5392;1268_Mosaic-business-api-1.0.25-swagger.json
7;0;3858;1541;5399;1277_mspisarev-AIS2.0_dictionaries_tariffs-0.15.0.30-swagger.json
1;0;3859;1541;5400;1280_mspisarev2-common-0.15.0.30-swagger.json
16;0;3875;1541;5416;1306_nduytg-Deeper-1.0.1-oas3-swagger.json
160;21;4035;1562;5597;1322_NickDarvey-Test-1-oas3-swagger.json
6;3;4041;1565;5606;1334_norima-sfi-IrisMobileApi-v0.2-swagger.json
23;0;4064;1565;5629;1336_nottakis-visit-nursing-0.1.4-swagger.json
4;3;4068;1568;5636;1342_NYSHEX-enforceable-bookings-1.0.4-swagger.json
77;0;4145;1568;5713;1353_OfficeGuy-OfficeGuyAPI-v4-oas3-swagger.json
2;0;4147;1568;5715;1362_Omni.sc-employers-api-1.1.2-swagger.json
38;0;4185;1568;5753;1369_Onegolive-jde_bssv_rest-1.0-swagger.json
60;200;4245;1768;6013;1374_OpenBankingRadar-Open_Banking_Brasil_API-v1.0-swagger.json
7;0;4252;1768;6020;1377_ORBCOMM-ORBCOMM_AIS_API-2.0.10-swagger.json
37;0;4289;1768;6057;1387_Otarkie-test-1.0.0-oas3-swagger.json
8;0;4297;1768;6065;1388_OTDP-Toolbox-1.2.0.13-swagger.json
43;56;4340;1824;6164;1390_Outlocks-access-api-1.3.1-swagger.json
22;14;4362;1838;6200;1391_p0psicles8-medusa-api-2.0.0-oas3-swagger.json
15;100;4377;1938;6315;1400_Panaya6-Panaya-19.09-swagger.json
6;0;4383;1938;6321;1401_paperini-api-paperini-plugin_api-latest-swagger.json
24;73;4407;2011;6418;1402_paramaw-swagger-petstore-1.0.0.1-swagger.json
3;0;4410;2011;6421;1411_PavanKrishnaGadde-HR_API_3.0-2.0.0-swagger.json
13;16;4423;2027;6450;1412_Payment-Approved-CBIX-0.1.0-swagger.json
151;28;4574;2055;6629;1423_PGA2-ServiceTitan-v1-swagger.json
14;6;4588;2061;6649;1426_philectron-osu-cs-applied-plan-portal-1.0.0-swagger.json
36;1;4624;2062;6686;1439_pierre.charles.m2m-PedroCarlos-1.0.0-swagger.json
5;0;4629;2062;6691;1456_POLIEDRO-Documentos-SAEP-1.0.0-swagger.json
7;0;4636;2062;6698;1457_POLIEDRO-Inscricoes-SAEP-1.0.0-swagger.json
24;22;4660;2084;6744;1465_pretectal6-CAT-API-V2-1.0.1-swagger.json
9;0;4669;2084;6753;1472_product_dev-kays-locations-dev-1.0.0-oas3-swagger.json
5;0;4674;2084;6758;1496_QA_Automation-Execution-Run-1.0-swagger.json
7;4;4681;2088;6769;1499_qloudsoft-nectr-1.0.0-swagger.json
14;1;4695;2089;6784;1510_rafaucau-Cantor-1.0-swagger.json
2;3;4697;2092;6789;1533_rbandarupally-OnboardingOrganisation-1.0.0-swagger.json
1;0;4698;2092;6790;1538_RedtTelecom-OmnichannelAPI-3.4.2-swagger.json
43;4;4741;2096;6837;1546_Responder-responder-V2.0-swagger.json
5;3;4746;2099;6845;1547_Restrain-Status-3.0.0-beta3-swagger.json
11;0;4757;2099;6856;1548_retailsolution-GeneralAPI-1.0.0-swagger.json
8;1;4765;2100;6865;1549_retailsolution-InternalPayment-1.0-swagger.json
32;4;4797;2104;6901;1550_retor7-citizen-app_api_docs-2.0.0-swagger.json
28;14;4825;2118;6943;1551_RFG-UserManagement-1.0.0-swagger.json
20;3;4845;2121;6966;1564_robertvanmolken-SpendiesAPI-1.0-swagger.json
6;0;4851;2121;6972;1565_robsel1186-Habit-Tracker-1.0.0-oas3-swagger.json
7;0;4858;2121;6979;1570_romulo94-vuttr-1.0.0-swagger.json
6;0;4864;2121;6985;1573_rontero-skso-1.0.0-oas3-swagger.json
153;0;5017;2121;7138;1578_ross-zebra-ross_sim_api-1.13.647.0-swagger.json
12;0;5029;2121;7150;1585_rtgholdings-RTGHoldingsOpenCRMAPI-1.0-swagger.json
14;0;5043;2121;7164;1586_rtgholdings-RTGHoldingsOpenCRMAPISandbox-1.0-swagger.json
20;38;5063;2159;7222;1614_sample-api-mock-common-1.0.0-swagger.json
16;4;5079;2163;7242;1631_scd.sulga-hrmny-1.0.1-swagger.json
11;5;5090;2168;7258;1649_send42-public-api-1.0.3-swagger.json
6;0;5096;2168;7264;1650_senta-Senta-1.4-swagger.json
42;4;5138;2172;7310;1653_sentifi-api-docs-sentifi-intelligence_markets_api-1.0.0-swagger.json
23;0;5161;2172;7333;1654_sep3-project-SEP3-tier2-1.0.0-oas3-swagger.json
4;1;5165;2173;7338;1669_shjulberg-music-api-0.3.3-swagger.json
42;19;5207;2192;7399;1673_Shoprunback-SRB-APP-1.1.0.0-swagger.json
3;0;5210;2192;7402;1688_sindhu-gangadharan-product-1.0.0-swagger.json
15;0;5225;2192;7417;1700_Smartinfo-Sweden-AB-SmartinfoSystemsAPI-2.5.0-oas3-swagger.json
5;3;5230;2195;7425;1703_smoya_samba-mvr-api-0.0.3-swagger.json
1;0;5231;2195;7426;1705_SOITEC-AWS_SES-1.0.0-oas3-swagger.json
9;0;5240;2195;7435;1722_SportsBiz-CognitoAdapter-1.0.0-swagger.json
9;0;5249;2195;7444;1724_sportshi-team-service-1.0.0-swagger.json
22;0;5271;2195;7466;1727_Srijan-Tech-la-mer_lmx_cms_rest_api-1.0-swagger.json
14;14;5285;2209;7494;1732_Staant95-Smartshop-1.0.0-swagger.json
24;6;5309;2215;7524;1738_StepAhead-StepsCRM-0.0.8-swagger.json
3;1;5312;2216;7528;1750_Subway-FreshAPI-Order-1.0.0-swagger.json
3;10;5315;2226;7541;1768_szse-dev-finbus_mbam_monitoring_indicator-0.0.1-swagger.json
9;6;5324;2232;7556;1776_talentclue-talent-clue_api-1.1.4-swagger.json
7;0;5331;2232;7563;1777_taltech-lang-lab-SpeakerID-1.0.0-swagger.json
50;0;5381;2232;7613;1789_team777-1551-1.0.0-oas3-swagger.json
9;0;5390;2232;7622;1790_teameap-Viptela_by_Orange-1.0.2-swagger.json
18;31;5408;2263;7671;1793_teconcept-swagger-io_link_master-0.0.1-oas3-swagger.json
5;0;5413;2263;7676;1797_telkomdev-lalas-ChatAja-Core-1.0.0-swagger.json
4;1;5417;2264;7681;1798_telless-temp-1.0.0-swagger.json
3;0;5420;2264;7684;1807_test8374-testAPI001-0.0.1-swagger.json
82;0;5502;2264;7766;1822_The-Villa-Play_Server-1.0-oas3-swagger.json
23;44;5525;2308;7833;1837_TIS-CCA-cca-core_data_service_api-1.210.3-oas3-swagger.json
8;1;5533;2309;7842;1845_tomsluyts-Persoon-1.0.0-swagger.json
9;0;5542;2309;7851;1847_Toporov_Vladislav-transfer-1.0.0-swagger.json
6;0;5548;2309;7857;1848_toures_balon-Usuario-Servicio-1.0.0-swagger.json
5;0;5553;2309;7862;1849_Tournamazing-tournament-service-v1-oas3-swagger.json
4;0;5557;2309;7866;1864_tsdv-Ehpd-1.0.0-swagger.json
8;2;5565;2311;7876;1866_tsfreitas-arauto-ws-1.0.0-swagger.json
10;0;5575;2311;7886;1877_Ulakapp.com-b-2_b_public-1.0-swagger.json
2;0;5577;2311;7888;1898_vaporting-passive-dns-1.0-swagger.json
4;0;5581;2311;7892;1908_vidacare-vidacare.ticket-1.1.0-oas3-swagger.json
17;4;5598;2315;7913;1911_Videonetics2020-MerafaceService-1.0.0.0-swagger.json
4;0;5602;2315;7917;1925_VPL-Solutions-LLC-catalog-1.0.0-swagger.json
4;0;5606;2315;7921;1927_vs-simonchristian-haw_vs_tavern-1.0.0-swagger.json
4;0;5610;2315;7925;1940_Weavr-Webhook-2.9.4-swagger.json
17;1;5627;2316;7943;1949_WeProov8-WeProovApi-1.0.0-oas3-swagger.json
3;1;5630;2317;7947;1951_wesinc.api-fileupload-2.0-swagger.json
3;4;5633;2321;7954;1955_whisperwind-COG-1.0.0-swagger.json
15;0;5648;2321;7969;1961_williamchand-bca_young_hackr-1.0.0-swagger.json
10;0;5658;2321;7979;1967_WKozman-TestBook-1.1.1-swagger.json
8;0;5666;2321;7987;1970_Wodomon-Teletype-1.1.0-swagger.json
31;5;5697;2326;8023;1971_Woleet-WoleetIDServerAPI-1.2.3-swagger.json
7;0;5704;2326;8030;1974_WorkshopTech-PharmaStock-1.0.0-swagger.json
6;0;5710;2326;8036;1985_XNAT-Metrics-1.0.0-swagger.json
24;0;5734;2326;8060;2004_youbim-llc-youbim-1.0.0-swagger.json
2;2;5736;2328;8064;2008_yujinlim-myatm-1.0.0-swagger.json
9;1;5745;2329;8074;2020_zCode-Solutions-meetMyTypes-mobile-api-doc-1.0.2-swagger.json
1;0;5746;2329;8075;2032_Zipari-Core-Services-CareFirstMemberPoliciesList-100.0.2-swagger.json
1;0;5747;2329;8076;2036_Zipari-Core-Services-DocumentsList-10.3.1-swagger.json
15;29;5762;2358;8120;2037_Zipari-Core-Services-EDE_api-1.0.1-swagger.json
1;0;5763;2358;8121;2039_Zipari-Core-Services-GroupsList-10.0.4-swagger.json
1;0;5764;2358;8122;2040_Zipari-Core-Services-IDCardsList-10.2.1-swagger.json
1;0;5765;2358;8123;2042_Zipari-Core-Services-MemberPoliciesList-10.1.4-swagger.json
1;0;5766;2358;8124;2043_Zipari-Core-Services-MembersList-10.2.1-swagger.json
1;0;5767;2358;8125;2049_Zipari-Core-Services-MessageThreadsList-10.5.1-swagger.json
1;0;5768;2358;8126;2054_Zipari-Core-Services-PlansList-10.5.2-swagger.json
1;0;5769;2358;8127;2057_Zipari-Core-Services-PoliciesList-10.1.10-swagger.json
1;0;5770;2358;8128;2060_Zipari-Core-Services-ProvidersList-10.0.7-swagger.json
1;0;5771;2358;8129;2062_Zipari-Core-Services-TransactionsList-10.1.1-swagger.json
20;11;5791;2369;8160;2066_Zipari-Core-Services-zipari_provider_portal_v_3_0_1_payer_api_specification-3.0.3-swagger.json
1;0;5792;2369;8161;2068_ZIPARI19-policy_api-1.0.0-swagger.json
