Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
3;0;4043;1340;5383;0915_Integration_tourists-Travel_contract_integration_polis_ua-1.0.4-swagger.json
6;2;4049;1342;5391;0916_intera-CarloopFree2MoveInterface-1.0.3-swagger.json
14;10;4063;1352;5415;0918_interledger-rs-Interledger-1.0-swagger.json
29;12;4092;1364;5456;0943_isonaspureaccess-api-v2-1.0.3-swagger.json
9;0;4101;1364;5465;0958_iway.io-booking_api_en-3.0.0-swagger.json
12;7;4113;1371;5484;0976_jchaves-organization-service-0.0.3-swagger.json
12;0;4125;1371;5496;0996_jjtortosa-cm-hub-1.0.2-swagger.json
11;1;4136;1372;5508;0999_jlugoww-ww-bot-dashboard-api-1.0-swagger.json
4;0;4140;1372;5512;1001_jmorgan7-catalogue-1.0.0-swagger.json
1;0;4141;1372;5513;1004_JoaoGabrielOliveiraSilv-Listed-api-v1-swagger.json
4;0;4145;1372;5517;1023_jupiter1-CandidateRegistration-1.0.0-swagger.json
26;0;4171;1372;5543;1024_jupiter1-ProductServices-1.0.0-swagger.json
9;0;4180;1372;5552;1041_kana-userstore_rest_1-1.0.0-oas3-swagger.json
4;1;4184;1373;5557;1048_ke-zhang-rd-amastra-samples-0.0.1-swagger.json
10;0;4194;1373;5567;1060_kiomat-SportLife-0.11.0-swagger.json
33;29;4227;1402;5629;1067_kmermelas-AgeingatWork_Forum_API-5-swagger.json
3;0;4230;1402;5632;1073_KNX_Sports_and_Media-Statistics-Center-0.1-swagger.json
7;0;4237;1402;5639;1080_konoma-akb-onboarding-majority-1.5-swagger.json
15;0;4252;1402;5654;1081_konstapascal-chestnut-api-1.0-swagger.json
4;0;4256;1402;5658;1092_ksingh.rajeev-catalog-1.0.0-swagger.json
1;491;4257;1893;6150;1129_lhtan-dev-dynamics-365_business_central-1.0.0-swagger.json
9;0;4266;1893;6159;1132_LidiaIvanova-NotForgotRestAPI-1.0-swagger.json
1;8;4267;1901;6168;1134_liferayinc-commerce-delivery-catalog-v1.0-swagger.json
5;2;4272;1903;6175;1147_ljimenez7-api-0.0.1-swagger.json
24;24;4296;1927;6223;1150_LocalizeWiz-WizApi-1.0.0-swagger.json
1;6;4297;1933;6230;1153_Logiware-SharkWCS-1.0.1-swagger.json
12;0;4309;1933;6242;1154_Logiware-SharkWMS-0.5.3-swagger.json
10;12;4319;1945;6264;1156_LOQBOX-LOQBOX-Core-1.0.2-swagger.json
8;0;4327;1945;6272;1159_Los-compadres-ejercicio1-1.0.0-swagger.json
14;0;4341;1945;6286;1171_lucky-mario-psms-PSMS-API-DOCUMENT-1.9.6-swagger.json
36;0;4377;1945;6322;1182_m437-mola-0.0.1-swagger.json
5;15;4382;1960;6342;1184_MaaP_KR-RCS_Biz_Center-1.0.4-swagger.json
2;8;4384;1968;6352;1196_marcelkat-Covid19Backend-1.0.1-swagger.json
37;10;4421;1978;6399;1197_MarchingBytes-ATM-1.1.1-swagger.json
2;5;4423;1983;6406;1199_MariumAli-EnsemblSearchGeneRestApi-1.0.0-swagger.json
90;127;4513;2110;6623;1200_marketboomer-PurchasePlusAPI-Inventory-2.0-swagger.json
11;12;4524;2122;6646;1201_marketboomer-PurchasePlusAPI-PointOfSale-2.0-swagger.json
16;2;4540;2124;6664;1215_Max-Value-Software-MVS_Licensing_API-0.0.31-swagger.json
2;2;4542;2126;6668;1217_maxx-t-MyUnisoft-1.0.1-swagger.json
20;2;4562;2128;6690;1222_md-ray-PhysicalResourceFulfillment-1.3.0-swagger.json
9;0;4571;2128;6699;1225_media-press.tv-Phoboss_API-2.0.0.0-swagger.json
1;0;4572;2128;6700;1226_medods-telephony-common-1.0-swagger.json
3;0;4575;2128;6703;1227_meekittipol-eipp-ext-invoice-service-1.0.0-swagger.json
9;0;4584;2128;6712;1231_Merlin-Technologies-SteamshipLineCargoIntegration-1.1-swagger.json
6;0;4590;2128;6718;1236_mfassis-GLAZ_API-1.0-oas3-swagger.json
13;0;4603;2128;6731;1238_mfi95-healthstack-0.5-swagger.json
3;0;4606;2128;6734;1245_michaelfontes-HR_API_OAS3.0-2.0.0-swagger.json
16;11;4622;2139;6761;1252_Minthealth-campaign-http-1.0.0-swagger.json
61;1;4683;2140;6823;1254_mirc-engineering-workloggerweb-1.0.0-swagger.json
2;0;4685;2140;6825;1256_mit-ndowmon-ensembles-infrastructure-map-1.0.0-swagger.json
11;0;4696;2140;6836;1257_mlima-vuttr-1.1.0-swagger.json
28;20;4724;2160;6884;1260_Mobigift-Mobigift-2-oas3-swagger.json
36;12;4760;2172;6932;1265_moneyfarm-api-0.8-swagger.json
